GPSwpt,Site,IndivID,refuge_category,Moving,Length,Width,HeightWW,PathToOcean,SurfAngle,DistToOpenH2O,DistToShelter,DistToUnderrock,ShelterType,DistToLittpint,DistToCrustose,CompassSurf,CompassOcean,Pics,ColorRibs,Erosion,ColorInter,RockMove,Substrate,Notes,LimuOnShell,SpotOnTransect,Hypot,Alt,Angle,ShoreType
65,HonoluaAdjacentInnerSide,25,exposed,n,1.22,0.98,0.47,y,103.4,-1.55,-0.64,NA,underrock,3.6,-1.55,76,57,phone 19-20,100black,50,greywhite,n,basalt,,n,cliff,NA,NA,NA,ba1 tp
65,HonoluaAdjacentInnerSide,26,exposed/refuge,n,1.28,1.01,0.47,y,105,-3,-0.75,NA,underrock,3,-3,66,57,phone 21-22,100black,75,tanwhite,n,basalt,,n,cliff,NA,NA,NA,ba1 tp
68,HonoluaAdjacentInnerSide,27,exposed/refuge,n,1.32,1.07,0.56,y,12.1,-0.75,-0.75,NA,crustose,11.6,-0.75,247,67,phone 23-24,100black,50,grey,n,basalt,,some crustose,bench2,NA,NA,NA,ba1 tp
68,HonoluaAdjacentInnerSide,28,refuge,n,1.35,1.09,0.53,y,133.7,-1.45,0,NA,underrock,11,-1.45,62,67,phone 25-26,100black,25,tan,n,basalt,,some crustose,cliff,NA,NA,NA,ba1 tp
69,HonoluaAdjacentInnerSide,29,exposed/refuge,n,1.7,1.4,0.575,y,40.6,-0.4,-0.2,NA,underrock,6,-0.4,40,25,27-28,100black,50,tan,n,basalt,canon cam here and below,some crustose,cliff,NA,NA,NA,ba1 tp
69,HonoluaAdjacentInnerSide,30,exposed/refuge,n,1.25,0.925,0.44,y,32.7,-1.4,-0.2,NA,underrock,6,-1.4,215,25,29-30,100black,50,tan,n,basalt,,n,cliff,NA,NA,NA,ba1 tp
70,HonoluaAdjacentInnerSide,31,exposed,n,1.24,1.02,0.39,y,59.4,-3.5,-1.2,NA,crevice,1.6,-3.5,150,41,31-32,100black,90,grey,n,basalt,,n,slope,NA,NA,NA,ba1 tp
70,HonoluaAdjacentInnerSide,32,exposed,n,1.335,1.09,0.52,y,64.6,-2.4,-1.5,NA,crevice,2.4,-2.4,55,51,33-34,100black,50,tangrey,n,basalt,,some crustose,slope,NA,NA,NA,ba1 tp
71,HonoluaAdjacentInnerSide,33,exposed,n,1.15,0.96,0.39,y,38,-0.8,-0.8,NA,crustose,6.4,-0.8,31,33,35-36,100black,25,tan,n,basalt,,some crustose,slope,NA,NA,NA,ba1 tp
72,HonoluaAdjacentInnerSide,34,exposed,n,1.68,1.39,0.6,y,41.2,-0.9,-0.9,NA,crustose,6.4,-0.9,354,37,37-38,100black,75,tan,n,basalt,,n,cliff (slope on cliff),NA,NA,NA,ba1 tp
